SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,6992 Cinnamon Dr,Sparks,NV,89436,429000,5,2.5,Spanish Springs-South,2701,6969,1997,50,159,65,Active,,,NNRMLS,190006240,N,Y,39.619784,-119.6782048
MLS Listing,,Single Family Residential,3354 Hazel St,Pollock Pines,CA,95726,329000,3,3,Pollock Pines,1656,19750,1974,51,,29,Active,,,MetroList,19029194,N,Y,38.754328,-120.5754191
MLS Listing,,Single Family Residential,7099 Heatherwood,Reno,NV,89523,479900,4,2.5,Reno-Northwest Foothills,2279,12632,1998,51,211,95,Active,,,NNRMLS,190006128,N,Y,39.5435136,-119.905631
MLS Listing,,Single Family Residential,1060 Robbers Ravine Rd,Colfax,CA,95713,549000,4,3,Colfax/Weimar,2817,74923,2004,51,,,Active,,,MetroList,19027788,N,Y,39.125794,-120.9193741
MLS Listing,,Single Family Residential,377 St Claire Ter,Brentwood,CA,94513,540000,2,2,Summerset 4,1809,5381,2002,52,299,145,Active,,,Bridge MLS,40863946,N,Y,37.9186448,-121.72224
MLS Listing,,Single Family Residential,4630 Seanpatrick Dr,Sacramento,CA,95838,349888,4,2,North Sacramento/Natomas/Del Paso Heights,1370,4530,2013,52,,,Active,,,MetroList,19028949,N,Y,38.6518889,-121.4495237
MLS Listing,,Single Family Residential,8436 Milky Way,Orangevale,CA,95662,479000,4,3,Orangevale,2350,6534,1976,52,,,Active,,,MetroList,19027763,N,Y,38.6789741,-121.2467418
MLS Listing,,Single Family Residential,312 Bannerman Ct,El Dorado Hills,CA,95762,699900,5,3,El Dorado Hills,2829,11718,2004,52,,198,Active,,,MetroList,19028047,N,Y,38.6804255,-121.0391316
MLS Listing,,Single Family Residential,4241 Gailey Cir,Cameron Park,CA,95682,465000,3,2,Greater Cameron Park,1652,9858,1995,52,,,Active,,,MetroList,19028027,N,Y,38.6578737,-121.009851
MLS Listing,,Single Family Residential,515 55th St,Sacramento,CA,95819,649900,3,2,East Sacramento & Vicinity,1400,4961,1947,52,,,Active,,,MetroList,19028273,N,Y,38.5712646,-121.4340049
MLS Listing,,Single Family Residential,2475 Vineyard Dr,Auburn,CA,95603,1275000,4,3.5,Auburn,4064,91476,2006,52,,70,Active,,,MetroList,19026643,N,Y,38.9181944,-121.102518
MLS Listing,,Condo/Co-op,6363 Christie Ave #611,Emeryville,CA,94608,600000,1,1,Emeryville,634,,1984,52,946,420,Active,,,San Francisco MLS,484393,N,Y,37.8412963,-122.2962575
MLS Listing,,Single Family Residential,924 Wilson Ave,Richmond,CA,94805,478000,3,2,Richmond,1281,2500,1983,54,373,,Active,,,Bridge MLS,40863340,N,Y,37.9457125,-122.3307468
MLS Listing,,Townhouse,38230 Redwood Ter,Fremont,CA,94536,725000,2,1.5,Fremont,1290,,1986,54,562,330,Active,,,Bridge MLS,40863264,N,Y,37.5674505,-121.9778886
MLS Listing,,Single Family Residential,63 Via Floreado,Orinda,CA,94563,1598000,4,2.5,Orinda,3183,24000,1971,59,502,,Active,,,Bridge MLS,40862669,N,Y,37.8960657,-122.1751815
MLS Listing,,Single Family Residential,5915 Sunset Ridge Ct,Reno,NV,89511-4363,1950000,4,4.5,Reno-South Suburban,5506,47480,2004,59,354,238,Active,,,NNRMLS,190005554,N,Y,39.4012524,-119.8343057
MLS Listing,,Single Family Residential,2593 Creek Hollow Rd,Rocklin,CA,95765,735000,5,3.5,West Rocklin/Zip 95765,3235,8490,2018,59,,84,Active,,,MetroList,19026421,N,Y,38.8342656,-121.2736566
MLS Listing,,Single Family Residential,314 Laurel Ln,Fernley,NV,89408-9746,294900,3,2,Fernley,1490,6098,2017,59,198,,Active,,,NNRMLS,190005534,N,Y,39.601328,-119.254082
MLS Listing,,Single Family Residential,102 Marion Ln,Healdsburg,CA,95448,669000,1,1,Healdsburg,650,2614,1957,60,1029,,Active,,,BAREIS,21908524,N,Y,38.6128353,-122.8652524
MLS Listing,,Condo/Co-op,230 Johnson St,Windsor,CA,95492,597500,3,3.5,Windsor,1764,706,2016,61,339,333,Active,,,BAREIS,21909054,N,Y,38.54606,-122.8132237
MLS Listing,,Single Family Residential,16651 San Gabriel Ct,MORGAN HILL,CA,95037,884000,3,2.5,MORGAN HILL,2021,4455,2002,62,437,45,Active,,,MLSListings,ML81748130,N,Y,37.1236426,-121.6369332
MLS Listing,,Single Family Residential,615 Kelmore St,MOSS BEACH,CA,94038,1199000,4,2.5,MOSS BEACH,2100,3700,1975,62,571,,Active,,,MLSListings,ML81748069,N,Y,37.5311022,-122.5141356
MLS Listing,,Single Family Residential,19538 Windrift Way,Woodbridge,CA,95258,625000,4,2,Lodi/Woodbdg/Sunnyside Estates/Henderson Village,2565,8250,1999,65,,,Active,,,MetroList,19025303,N,Y,38.161817,-121.3176594
MLS Listing,,Single Family Residential,65 Harriet Way,Tiburon,CA,94920,2150000,4,2,Tiburon,2155,9074,1953,65,998,,Active,,,BAREIS,21907857,N,Y,37.8991369,-122.4994144
MLS Listing,,Single Family Residential,933 Main Ave,Sacramento,CA,95838,474500,4,3,North Sacramento/Natomas/Del Paso Heights,2520,65776,1948,65,,,Active,,,MetroList,19024557,N,Y,38.655096,-121.44486
MLS Listing,,Single Family Residential,4485 McRoberts Dr,Mather,CA,95655,599000,6,4,Mather Air Force Base,4062,11269,2002,66,,78,Active,,,MetroList,19022151,N,Y,38.5389638,-121.2728743
MLS Listing,,Single Family Residential,10545 Pippin St,Oakland,CA,94603,475000,3,2,Alameda County,1170,2500,2019,66,406,,Active,,,BAREIS,21908850,N,Y,37.734134,-122.175308
MLS Listing,,Single Family Residential,4301 Peracca Rd,Santa Rosa,CA,95404,1295000,5,4,Santa Rosa-Southeast,3564,78408,1974,66,363,,Active,,,BAREIS,21908637,N,Y,38.3802993,-122.6383204
MLS Listing,,Single Family Residential,8570 Elm Ave,Orangevale,CA,95662,635000,4,3,Orangevale,2437,23087,1978,66,,,Active,,,MetroList,19025015,N,Y,38.6928821,-121.2408746
MLS Listing,,Single Family Residential,2001 Riddling Ct,Brentwood,CA,94513,1250000,4,3.5,Brentwood,3400,15281,2018,66,368,193,Active,,,Bridge MLS,40861548,N,Y,37.8978881,-121.7324795
MLS Listing,,Multi-Family (2-4 Unit),22267 Peralta St,Hayward,CA,94541,949000,6,3,Hayward,2455,7350,1963,67,387,,Active,,,Bridge MLS,40861490,N,Y,37.673808,-122.091031
MLS Listing,,Single Family Residential,1117 Glenn St,Santa Rosa,CA,95401,639000,3,2,Santa Rosa-Northeast,1203,5401,1922,73,531,,Active,,,BAREIS,21908146,N,Y,38.4463324,-122.720586
MLS Listing,,Condo/Co-op,132 Talmont Cir,Roseville,CA,95678,376900,2,2.5,Central Roseville/zip 95678,1331,1059,2011,73,,130,Active,,,MetroList,19022488,N,Y,38.784597,-121.290949
MLS Listing,,Single Family Residential,108 Friar Way,CAMPBELL,CA,95008,1199000,4,3,CAMPBELL,1680,4669,2007,73,714,,Active,,,MLSListings,ML81746692,N,Y,37.2758791,-121.9514216
MLS Listing,,Single Family Residential,9012 Carneros St,Roseville,CA,95747,449000,2,2.5,West Roseville/zip 95747,1731,3372,2017,73,,95,Active,,,MetroList,19022193,N,Y,38.7429744,-121.3126994
