RegionName,State,Metro,CountyName,SizeRank,Jan-19,Feb-19,Mar-19,Apr-19,May-19
Germantown,TN,Memphis,Shelby County,1385,369000,399450,399900,414900,415000
Bartlett,IL,Chicago-Naperville-Elgin,DuPage County,1386,284950,285000,289900,289900,299000
Marlborough,MA,Boston-Cambridge-Newton,Middlesex County,1387,362500,360000,369250,364900,359950
Montclair,NJ,New York-Newark-Jersey City,Essex County,1388,562000,565000,599000,599000,625000
Maplewood,MN,Minneapolis-St. Paul-Bloomington,Ramsey County,1388,255400,249900,246950,245000,252450
Hillsborough,NJ,New York-Newark-Jersey City,Somerset County,1390,419900,407495,417300,421945,444710
Spanish Fork,UT,Provo-Orem,Utah County,1391,328990,320000,335450,339950,332450
Burleson,TX,Dallas-Fort Worth-Arlington,Johnson County,1392,267945,274900,260450,260000,261900
Jacksonville,AR,Little Rock-North Little Rock-Conway,Pulaski County,1393,126700,121950,124949.5,121900,122500
Winslow,NJ,Philadelphia-Camden-Wilmington,Camden County,1394,169900,173400,179900,188200,180000
Bristol,TN,Kingsport-Bristol-Bristol,Sullivan County,1395,150950,154900,159000,159450,169900
North Augusta,SC,Augusta-Richmond County,Aiken County,1396,179500,189900,193700,175000,185000
Riverton,UT,Salt Lake City,Salt Lake County,1397,447400,389900,4.00E+05,426000,409900
Bowling Green,OH,Toledo,Wood County,1398,185750,185750,193700,189900,189900
Wheeling,WV,Wheeling,Ohio County,1399,130750,129900,129000,134900,136500
Woodinville,WA,Seattle-Tacoma-Bellevue,King County,1400,934950,949950,949950,949475,949925
West Babylon,NY,New York-Newark-Jersey City,Suffolk County,1401,378944,370000,379999.5,379949.5,387000
Milton,GA,Atlanta-Sandy Springs-Roswell,Fulton County,1402,685394,680450,697575,694000,699900
Kinston,NC,Kinston,Lenoir County,1403,114000,112000,119200,118000,119000
Kendall West,FL,Miami-Fort Lauderdale-West Palm Beach,Miami-Dade County,1404,244950,244900,239000,229900,239000
Belton,TX,Killeen-Temple,Bell County,1405,227230,225000,235495,249900,259200
Elizabeth City,NC,Elizabeth City,Pasquotank County,1406,177450,187700,189900,198900,199000
Woburn,MA,Boston-Cambridge-Newton,Middlesex County,1407,489900,485000,489900,489000,502449
Montgomery,TX,Houston-The Woodlands-Sugar Land,Montgomery County,1408,349700,339984,337000,339000,339000
Lake Wales,FL,Lakeland-Winter Haven,Polk County,1409,194947.5,198900,199900,197450,198900
Great Neck,NY,New York-Newark-Jersey City,Nassau County,1410,1159000,1100000,1155000,1188000,1199000
Brighton,CO,Denver-Aurora-Lakewood,Adams County,1411,385000,380990,388495,387990,384900
Lebanon,OH,Cincinnati,Warren County,1412,305900,309900,304997.5,300347.5,300347.5
Lutherville Timonium,MD,Baltimore-Columbia-Towson,Baltimore County,1413,374450,375000,389900,399900,399000
Northbrook,IL,Chicago-Naperville-Elgin,Cook County,1414,549000,549000,549900,549000,539450
Oakley,CA,San Francisco-Oakland-Hayward,Contra Costa County,1415,499900,499950,499850,499000,499000
Papillion,NE,Omaha-Council Bluffs,Sarpy County,1416,361142.5,348750,350000,330000,326000
Nottingham,MD,Baltimore-Columbia-Towson,Baltimore County,1417,236450,244900,249900,249900,243000
Waianae,HI,Urban Honolulu,Honolulu County,1418,410000,420000,419950,419900,425000
Wentzville,MO,St. Louis,Saint Charles County,1419,264900,264900,271115,272990,272990
Hallandale,FL,Miami-Fort Lauderdale-West Palm Beach,Broward County,1420,265000,269000,274000,275000,275000
Rock Island,IL,Davenport-Moline-Rock Island,Rock Island County,1421,99900,93000,95000,99000,98000
Warren,OH,Youngstown-Warren-Boardman,Trumbull County,1422,52200,52500,52500,52700,54900
Port Huron,MI,Detroit-Warren-Dearborn,Saint Clair County,1423,106900,103450,109900,115500,119900
