SizeRank,RegionID,RegionName,RegionType,StateName,2019-01,2019-02,2019-03,2019-04,2019-05
346,11726,Greenville,City,NC,84,75,73,100,81
347,19172,Manassas,City,VA,65,64,121,160,142
348,11914,Hillsboro,City,OR,,71,74,126,147
349,45548,Green Bay,City,WI,,74,78,109,142
350,53787,Palm Bay,City,FL,222,185,222,190,178
351,54121,Richardson,City,TX,91,105,127,118,148
352,41629,West Chester,City,PA,,99,101,118,112
353,53636,Norwalk,City,CA,,43,58,49,59
354,7680,Vero Beach,City,FL,428,342,335,294,287
355,19903,Peoria,City,IL,135,184,183,190,247
356,44515,Centennial,City,CO,98,95,120,131,151
357,11140,Douglasville,City,GA,142,236,161,159,178
358,16780,Antioch,City,CA,,65,81,99,127
359,13256,Perris,City,CA,77,72,67,65,57
360,27228,Springfield,City,VA,,,,110,102
361,18053,Fairfield,City,CA,101,109,79,128,127
362,4301,Davenport,City,IA,65,67,94,95,82
363,5595,Lehigh Acres,City,FL,212,172,188,185,164
364,4626,Everett,City,WA,51,43,66,86,97
365,27942,Wichita Falls,City,TX,98,114,122,125,137
366,11335,Erie,City,PA,69,69,67,108,100
367,26575,Pompano Beach,City,FL,,276,244,219,243
368,13698,San Leandro,City,CA,,34,38,63,45
369,6790,Riverview,City,FL,,252,309,282,432
370,396054,Burbank,City,CA,,63,54,59,66
371,41446,Vacaville,City,CA,,82,96,115,106
372,32629,Madera,City,CA,,80,61,91,64
373,37074,Albany,City,NY,53,31,57,73,76
374,31819,Grand Junction,City,CO,170,166,193,217,244
375,45732,Hesperia,City,CA,121,115,120,127,118
376,45911,Jackson,City,MI,105,88,96,108,121
377,47977,The Woodlands,City,TX,166,186,272,290,319
378,12438,Longview,City,TX,,97,122,135,141
379,13699,San Mateo,City,CA,47,59,62,68,92
380,11267,Edison,City,NJ,95,103,165,138,179
381,45339,Franklin,City,TN,160,207,208,212,267
382,13709,Sandy Springs,City,GA,,254,234,243,200
383,25855,Merced,City,CA,62,83,81,94,100
384,39134,Jacksonville,City,NC,151,142,199,208,245
385,13715,Santa Cruz,City,CA,43,50,69,73,63
386,32489,Lexington,City,SC,187,197,238,216,246
387,17386,Chapel Hill,City,NC,97,131,176,150,148
